Survived,Pclass,Age,Sex,Cabin
0,3,-0.5924805998028931,1,115
1,1,0.6387890120425208,0,81
1,3,-0.2846631968415396,0,115
1,1,0.40792595982150565,0,55
0,3,0.40792595982150565,1,115
0,3,0.0,1,115
0,1,1.8700586238879346,1,130
0,3,-2.1315676146096605,1,115
1,3,-0.20770884610120124,0,115
1,2,-1.2081154057256,0,115
1,3,-1.9776589131289837,0,146
1,1,2.177876026849288,0,49
0,3,-0.7463893012835698,1,115
0,3,0.7157433627828591,1,115
0,3,-1.2081154057256,0,115
1,2,1.947012974628273,0,115
0,3,-2.1315676146096605,1,115
1,2,0.0,1,115
0,3,0.1001085568601522,0,115
1,3,0.0,0,115
0,2,0.40792595982150565,1,115
1,2,0.3309716090811673,1,111
1,3,-1.1311610549852615,0,115
1,1,-0.1307544953608629,1,13
0,3,-1.6698415101676303,0,115
1,3,0.6387890120425208,0,115
0,3,0.0,1,115
0,1,-0.8233436520239081,1,63
1,3,0.0,0,115
0,3,0.0,1,115
0,1,0.7926977135231975,1,115
1,1,0.0,0,41
1,3,0.0,0,115
0,2,2.793510832771995,1,115
0,1,-0.1307544953608629,1,115
0,1,0.9466064150038742,1,115
1,3,0.0,1,115
0,3,-0.6694349505432314,1,115
0,3,-0.9002980027642465,0,115
1,3,-1.2081154057256,0,115
0,3,0.7926977135231975,0,115
0,2,-0.20770884610120124,0,115
0,3,0.0,1,115
1,2,-2.054613263869322,0,115
1,3,-0.8233436520239081,0,115
0,3,0.0,1,115
0,3,0.0,1,115
1,3,0.0,0,115
0,3,0.0,1,115
0,3,-0.9002980027642465,0,115
0,3,-1.7467958609079686,1,115
0,3,-0.6694349505432314,1,115
1,1,1.4852868701862427,0,101
1,2,-0.05380014462052453,0,115
0,1,2.7165564820316566,1,23
1,1,0.0,1,71
1,2,-0.6694349505432314,0,115
0,3,-0.0922773199906937,1,115
1,2,-1.9007045623886454,0,115
0,3,-1.4389784579466152,1,115
0,3,-0.5924805998028931,1,115
1,1,0.6387890120425208,0,21
0,1,1.1774694672248893,1,80
0,3,-1.9776589131289837,1,115
0,1,0.0,1,115
1,3,0.0,1,115
1,2,-0.05380014462052453,0,143
0,3,-0.8233436520239081,1,115
1,3,-0.977252353504585,0,115
0,3,-0.2846631968415396,1,115
0,2,0.17706290760049057,1,115
0,3,-1.0542067042449232,0,115
0,2,-0.6694349505432314,1,115
0,3,-0.2846631968415396,1,115
1,3,0.17706290760049057,1,115
0,3,-0.361617547581878,1,141
0,3,0.0,1,115
0,3,0.0,1,115
1,2,-2.2216042049758564,1,115
1,3,0.02315420611981384,0,115
0,3,-0.5924805998028931,1,115
1,3,-0.05380014462052453,1,115
1,3,0.0,0,115
0,1,-0.1307544953608629,1,115
1,2,-0.977252353504585,0,115
1,3,0.25401725834082894,0,115
0,3,-1.0542067042449232,1,115
0,3,0.0,1,115
1,1,-0.5155262490625547,0,63
0,3,-0.4385718983222164,1,115
0,3,-0.05380014462052453,1,115
0,3,-0.7463893012835698,1,115
0,1,1.2544238179652276,1,123
0,3,-0.2846631968415396,1,115
0,3,2.2548303775896263,1,115
0,3,0.0,1,115
0,1,3.1782825864736868,1,12
1,1,-0.5155262490625547,1,91
1,2,0.3309716090811673,0,115
0,2,0.3309716090811673,1,115
0,3,-0.1307544953608629,0,115
0,3,0.0,1,115
0,1,-0.6694349505432314,1,98
0,3,0.25401725834082894,1,115
